timestamp,Stress,SnLeftClicked,SnMouseAct,SnKeyStrokes,SnChars,SnAppChange,SnTabfocusChange,SnSpecialKeys,SnDirectionKeys,SnErrorKeys,SnShortcutKeys,SnSpaces,CharactersRatio,ErrorKeyRatio,SnRightClicked,SnDoubleClicked,SnWheel,SnMouseDistance,SnKeyStrokes/s,SnChars/s,Balance
20120918T131600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20120918T131700000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20120918T131800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20120918T131900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20120918T132000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20120918T132100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20120918T132600000,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20120918T132700000,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20120918T132800000,4.1,5.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5691.235163,0.0,0.0,8.0
20120918T132900000,4.1,7.0,12.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7726.999223,0.0,0.0,12.0
20120918T133000000,4.1,5.0,10.0,53.0,32.0,1.0,4.0,21.0,0.0,8.0,0.0,5.0,0.603774,0.216216,0.0,0.0,3.0,6307.768271,0.8833333333333333,0.5333333333333333,0.18518518518518517
20120918T133100000,4.1,0.0,0.0,38.0,19.0,0.0,0.0,19.0,0.0,4.0,0.0,3.0,0.5,0.181818,0.0,0.0,0.0,0.0,0.6333333333333333,0.31666666666666665,0.0
20120918T133200000,4.1,12.0,34.0,10.0,7.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.7,0.0,0.0,0.0,4.0,31920.22043,0.16666666666666666,0.11666666666666667,3.090909090909091
20120918T133300000,4.1,17.0,37.0,38.0,23.0,8.0,0.0,15.0,1.0,2.0,0.0,6.0,0.605263,0.068966,0.0,2.0,0.0,24669.27111,0.6333333333333333,0.38333333333333336,0.9487179487179487
20120918T133400000,4.1,10.0,25.0,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,1.0,19448.10797,0.13333333333333333,0.11666666666666667,2.7777777777777777
20120918T133500000,4.1,0.0,0.0,108.0,75.0,1.0,0.0,33.0,0.0,8.0,0.0,17.0,0.694444,0.086957,0.0,0.0,0.0,0.0,1.8,1.25,0.0
20120918T133600000,4.1,0.0,0.0,183.0,125.0,0.0,0.0,58.0,24.0,6.0,0.0,24.0,0.68306,0.040268,0.0,0.0,0.0,0.0,3.05,2.0833333333333335,0.0
20120918T133700000,4.1,2.0,4.0,140.0,86.0,0.0,0.0,54.0,0.0,20.0,0.0,23.0,0.614286,0.183486,0.0,0.0,0.0,2670.793367,2.3333333333333335,1.4333333333333333,0.028368794326241134
20120918T133800000,4.1,10.0,15.0,62.0,34.0,7.0,0.0,28.0,9.0,4.0,0.0,9.0,0.548387,0.093023,0.0,1.0,0.0,7997.001313,1.0333333333333334,0.5666666666666667,0.23809523809523808
20120918T133900000,4.1,4.0,6.0,103.0,67.0,2.0,4.0,36.0,0.0,7.0,0.0,14.0,0.650485,0.08642,0.0,0.0,0.0,4638.986272,1.7166666666666666,1.1166666666666667,0.057692307692307696
20120918T134000000,4.1,6.0,11.0,123.0,87.0,3.0,1.0,36.0,0.0,10.0,1.0,18.0,0.707317,0.095238,0.0,1.0,2.0,7144.703826,2.05,1.45,0.08870967741935484
20120918T134100000,4.1,8.0,14.0,66.0,47.0,2.0,0.0,19.0,0.0,6.0,1.0,9.0,0.712121,0.107143,0.0,0.0,0.0,8418.787048,1.1,0.7833333333333333,0.208955223880597
20120918T134200000,4.1,12.0,35.0,73.0,56.0,3.0,0.0,17.0,0.0,2.0,0.0,11.0,0.767123,0.029851,0.0,0.0,5.0,2485.729036,1.2166666666666666,0.9333333333333333,0.47297297297297297
20120918T134300000,4.1,15.0,26.0,63.0,35.0,5.0,2.0,28.0,0.0,7.0,0.0,9.0,0.555556,0.159091,0.0,0.0,1.0,22095.74979,1.05,0.5833333333333334,0.40625
20120918T134400000,4.1,10.0,37.0,17.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.882353,0.0,0.0,0.0,8.0,2932.035591,0.2833333333333333,0.25,2.0555555555555554
20120918T134500000,4.1,4.0,7.0,64.0,40.0,1.0,0.0,24.0,0.0,10.0,0.0,8.0,0.625,0.208333,0.0,0.0,1.0,6068.441732,1.0666666666666667,0.6666666666666666,0.1076923076923077
20120918T134600000,4.1,10.0,20.0,107.0,76.0,3.0,0.0,31.0,0.0,1.0,0.0,18.0,0.71028,0.010638,0.0,0.0,2.0,16718.89061,1.7833333333333334,1.2666666666666666,0.18518518518518517
20120918T134700000,4.1,5.0,7.0,141.0,88.0,5.0,0.0,53.0,0.0,13.0,0.0,23.0,0.624113,0.117117,0.0,0.0,0.0,5810.87799,2.35,1.4666666666666666,0.04929577464788732
20120918T134800000,4.1,4.0,10.0,164.0,117.0,1.0,0.0,47.0,0.0,8.0,0.0,27.0,0.713415,0.055556,0.0,0.0,0.0,7430.615653,2.7333333333333334,1.95,0.06060606060606061
20120918T134900000,4.1,15.0,19.0,69.0,40.0,4.0,4.0,29.0,0.0,6.0,0.0,10.0,0.57971,0.12,0.0,0.0,4.0,12869.70633,1.15,0.6666666666666666,0.2714285714285714
20120918T135000000,4.1,8.0,14.0,126.0,92.0,3.0,1.0,34.0,0.0,3.0,0.0,22.0,0.730159,0.026316,0.0,0.0,0.0,12036.33251,2.1,1.5333333333333334,0.11023622047244094
20120918T135100000,4.1,3.0,5.0,123.0,82.0,2.0,0.0,41.0,0.0,4.0,0.0,17.0,0.666667,0.040404,0.0,0.0,0.0,46857.38801,2.05,1.3666666666666667,0.04032258064516129
20120918T135200000,4.1,6.0,8.0,133.0,97.0,5.0,0.0,36.0,0.0,5.0,0.0,21.0,0.729323,0.042373,0.0,0.0,0.0,669.295765,2.216666666666667,1.6166666666666667,0.05970149253731343
20120918T135300000,4.1,3.0,3.0,129.0,73.0,1.0,0.0,56.0,4.0,11.0,1.0,18.0,0.565891,0.120879,0.0,0.0,0.0,2453.098318,2.15,1.2166666666666666,0.023076923076923078
20120918T135400000,4.1,4.0,9.0,163.0,115.0,0.0,0.0,48.0,7.0,5.0,0.0,24.0,0.705521,0.035971,0.0,0.0,3.0,5182.302727,2.716666666666667,1.9166666666666667,0.054878048780487805
20120918T135500000,4.1,0.0,0.0,183.0,141.0,0.0,0.0,42.0,0.0,5.0,0.0,27.0,0.770492,0.029762,0.0,0.0,0.0,0.0,3.05,2.35,0.0
20120918T135600000,4.1,16.0,28.0,21.0,14.0,4.0,3.0,7.0,0.0,0.0,1.0,2.0,0.666667,0.0,0.0,2.0,10.0,12353.065,0.35,0.23333333333333334,1.2727272727272727
20120918T135700000,4.1,19.0,37.0,21.0,14.0,7.0,2.0,7.0,0.0,1.0,0.0,3.0,0.666667,0.058824,0.0,0.0,8.0,18088.69799,0.35,0.23333333333333334,1.6818181818181819
20120918T135800000,4.1,4.0,7.0,102.0,80.0,0.0,0.0,22.0,0.0,0.0,0.0,19.0,0.784314,0.0,0.0,0.0,1.0,23492.83745,1.7,1.3333333333333333,0.06796116504854369
20120918T135900000,4.1,9.0,16.0,115.0,72.0,4.0,2.0,43.0,0.0,21.0,0.0,17.0,0.626087,0.235955,0.0,0.0,7.0,9349.803567,1.9166666666666667,1.2,0.13793103448275862
20120918T140000000,4.1,0.0,0.0,144.0,110.0,0.0,0.0,34.0,0.0,9.0,0.0,22.0,0.763889,0.068182,0.0,0.0,0.0,0.0,2.4,1.8333333333333333,0.0
